,id,title,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score
0,ts300399,Five Came Back: The Reference Films,1945,TV-MA,51,['documentation'],['US'],1.0,
1,ts22164,Monty Python's Flying Circus,1969,TV-14,30,"['comedy', 'european']",['GB'],4.0,8.8
2,ts45948,Monty Python's Fliegender Zirkus,1972,TV-MA,43,['comedy'],[],1.0,8.1
3,ts20681,Seinfeld,1989,TV-PG,24,['comedy'],['US'],9.0,8.9
4,ts22082,Knight Rider,1982,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",['US'],4.0,6.9
5,ts21715,Thomas & Friends,1984,TV-Y,10,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music']",['GB'],24.0,6.5
6,ts20678,Saved by the Bell,1989,TV-G,23,"['family', 'comedy', 'romance']",['US'],5.0,7.1
7,ts25028,Wheel of Fortune,1983,TV-G,26,['family'],['US'],39.0,6.7
8,ts23753,Major Dad,1989,TV-PG,24,"['comedy', 'family']",['US'],4.0,6.5
9,ts987,Danger Mouse,1981,TV-Y,14,"['animation', 'comedy', 'family', 'scifi', 'european']",['GB'],10.0,7.4
10,ts2760,Fireman Sam,1987,TV-Y,10,"['animation', 'comedy', 'family', 'crime', 'european']",['GB'],13.0,6.1
11,ts63001,High Risk,1988,TV-PG,50,['comedy'],['US'],1.0,3.8
12,ts20981,Survivor,2000,TV-PG,48,['reality'],['US'],42.0,7.4
13,ts22176,Stargate SG-1,1997,TV-PG,44,"['scifi', 'drama', 'action']","['CA', 'US']",10.0,8.4
14,ts21223,Pokémon,1997,TV-Y7,22,"['action', 'scifi', 'animation', 'comedy', 'fantasy', 'family']",['JP'],25.0,7.4
15,ts20339,One Piece,1999,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],21.0,8.8
16,ts5145,The Challenge,1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",['US'],37.0,7.8
17,ts34435,Cowboy Bebop,1998,TV-14,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",['JP'],1.0,8.9
18,ts20983,Neon Genesis Evangelion,1995,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",['JP'],1.0,8.5
19,ts21567,Gilmore Girls,2000,TV-14,46,"['comedy', 'drama']",['US'],8.0,8.2
